Name,Date Released,Review Category,Review Score,Review Amount,Original Price,Discounted Price,Achievements listed,Game Rating,DLC?,Early Access?
"Warhammer 40,000: Darktide","Nov 30, 2022",Mixed,55,57716,3.99,$31.99,36,No Rating,N,N
Hush Hush - Only Your Love Can Save Them,"Apr 20, 2023",Overwhelmingly Positive,95,738,9.99,$17.99,39,No Rating,N,N
Subnautica,"Jan 23, 2018",Overwhelmingly Positive,96,205680,19.99,$53.98,17,Everyone 10+,N,N
Barotrauma,"Mar 13, 2023",Very Positive,93,32324,$59.99,$26.24,69,No Rating,N,N
Dead Space,"Jan 27, 2023",Very Positive,92,22434,$960.47,0,47,Mature,N,N
The Binding of Isaac: Rebirth,"Nov 4, 2014",Overwhelmingly Positive,97,211132,$5.99,$50.96,637,No Rating,N,N
Aliens vs. Predator™,"Feb 16, 2010",Very Positive,90,12195,59.99,$2.99,50,Mature,N,N
Wallpaper Engine,Nov 2018,Overwhelmingly Positive,98,593195,19.99,0,17,No Rating,N,N
Escape the Backrooms,"Aug 11, 2022",Very Positive,88,14496,4.99,0,20,No Rating,N,Y
Gorilla Tag,"Jan 1, 2023",Very Positive,92,2676,$69.99,0,0,No Rating,N,N
Gears 5,"Sep 9, 2019",Mostly Positive,70,16326,59.99,$20.99,181,Mature,N,N
Call of Duty®: Black Ops II,"Nov 12, 2012",Very Positive,86,15954,$39.99,$962.60,35,Mature,N,N
Iron Lung,"Mar 9, 2022",Very Positive,93,5101,$29.99,$5.09,7,No Rating,N,N
Atomic Heart,"Feb 20, 2023",Very Positive,85,16059,0.00,0,42,Mature,N,N
The Forest,"Apr 30, 2018",Overwhelmingly Positive,95,404929,0.00,0,45,No Rating,N,N
Golf With Your Friends,"May 19, 2020",Very Positive,90,37882,39.99,$26.02,71,No Rating,N,N
Stray,"Jul 19, 2022",Overwhelmingly Positive,97,104635,59.99,$38.38,24,No Rating,N,N
Don't Starve Together,"Apr 21, 2016",Overwhelmingly Positive,96,258175,39.99,$32.94,0,No Rating,N,N
Cookie Clicker,"Sep 1, 2021",Overwhelmingly Positive,97,40595,$960.47,0,583,No Rating,N,N
The Elder Scrolls V: Skyrim Anniversary Upgrade,"Nov 10, 2021",Mixed,58,4294,19.99,$79.18,0,Mature,Y,N
Left 4 Dead 2,"Nov 16, 2009",Overwhelmingly Positive,97,536488,$19.99,$14.98,101,No Rating,N,N
The Quarry,"Jun 9, 2022",Mostly Positive,78,5057,$19.99,$27.99,40,Mature,N,N
Half-Life: Alyx,"Mar 23, 2020",Overwhelmingly Positive,98,68997,15.99,0,42,No Rating,N,N
Control Ultimate Edition,"Aug 27, 2020",Very Positive,89,27565,9.99,$9.99,67,Mature,N,N
Hellblade: Senua's Sacrifice,"Aug 8, 2017",Very Positive,91,47401,59.99,$7.49,14,Mature,N,N
Remnant: From the Ashes,"Aug 19, 2019",Very Positive,85,37810,24.99,$57.57,50,Mature,N,N
My Singing Monsters,"Mar 24, 2021",Very Positive,94,28462,0.00,0,0,No Rating,N,N
Rec Room,"Jun 1, 2016",Very Positive,91,50475,39.99,0,0,Everyone 10+,N,N
Resident Evil Village,"May 6, 2021",Overwhelmingly Positive,95,62094,$11.99,0,56,No Rating,N,N
Returnal™,"Feb 15, 2023",Very Positive,81,2493,9.99,0,38,Teen,N,N
Resident Evil 2,"Jan 24, 2019",Overwhelmingly Positive,97,86030,39.99,$14.93,44,Mature,N,N
Dead Island Definitive Edition,"May 31, 2016",Very Positive,82,15672,49.99,$39.57,57,Mature,N,N
GTFO,"Dec 9, 2021",Very Positive,87,33697,$11.99,0,0,Mature,N,N
Call of Duty®: Black Ops,"Nov 9, 2010",Very Positive,91,14575,19.99,$962.60,68,Mature,N,N
DOOM Eternal,"Mar 19, 2020",Very Positive,91,147025,$960.47,$103.44,50,Mature,N,N
The Isle,"Dec 1, 2015",Very Positive,83,57789,0.00,0,0,No Rating,N,Y
Subnautica: Below Zero,"May 13, 2021",Very Positive,91,70130,$14.99,$53.98,13,Everyone 10+,N,N
The Long Dark,"Aug 1, 2017",Very Positive,91,84701,$8.99,$13.39,56,Teen,N,N
Resident Evil 3,"Apr 2, 2020",Very Positive,80,44656,0.00,$4.96,32,No Rating,N,N
Choo-Choo Charles,"Dec 9, 2022",Very Positive,92,10016,4.99,$13.99,24,No Rating,N,N
