Name,Date Released,Review Category,Review Score,Review Amount,Original Price,Discounted Price,Achievements listed,Game Rating,DLC?,Early Access?
Vampire Survivors,"Oct 20, 2022",Overwhelmingly Positive,98,183390,39.99,$3.99,184,No Rating,N,N
Phasmophobia,"Sep 18, 2020",Overwhelmingly Positive,96,445427,24.99,0,0,No Rating,N,Y
New World,"Sep 28, 2021",Mixed,69,217160,34.99,0,133,Teen,N,N
STAR WARS™: The Old Republic™,"Dec 20, 2011",Very Positive,89,50887,49.99,0,191,Teen,N,N
The Last of Us™ Part I,"Mar 28, 2023",Mixed,52,17215,$17.99,$69.99,29,Mature,N,N
Boundary,"Apr 13, 2023",Mostly Positive,74,7721,$39.99,$22.49,0,No Rating,N,Y
Valheim,"Feb 2, 2021",Overwhelmingly Positive,95,344751,$24.99,$25.18,0,No Rating,N,Y
Bloons TD 6,"Dec 17, 2018",Overwhelmingly Positive,97,219061,9.99,$63.80,146,No Rating,N,N
Deceive Inc.,"Mar 21, 2023",Very Positive,88,1555,$79.99,$29.99,36,No Rating,N,N
Risk of Rain 2,"Aug 11, 2020",Overwhelmingly Positive,96,156327,$39.99,$34.78,118,Teen,N,N
Pizza Tower,"Jan 26, 2023",Overwhelmingly Positive,98,19788,$34.99,0,72,No Rating,N,N
Deep Rock Galactic,"May 13, 2020",Overwhelmingly Positive,97,161446,$17.99,$113.29,69,No Rating,N,N
The Elder Scrolls V: Skyrim Special Edition,"Oct 27, 2016",Very Positive,94,127760,$29.99,$79.18,75,Mature,N,N
Hell Let Loose,"Jul 27, 2021",Very Positive,88,61830,$1.99,$67.42,158,No Rating,N,N
Raft,"Jun 20, 2022",Very Positive,93,224337,59.99,0,104,No Rating,N,N
Dying Light,"Jan 26, 2015",Overwhelmingly Positive,95,272238,14.99,$8.99,78,Mature,N,N
Conan Exiles,"May 8, 2018",Mostly Positive,78,61556,24.99,$49.78,36,No Rating,N,N
Forza Horizon 5,"Nov 8, 2021",Very Positive,88,105348,0.00,$49.35,124,Everyone,N,N
STRANGER OF PARADISE FINAL FANTASY ORIGIN,"Apr 6, 2023",Very Positive,89,665,29.99,$59.99,83,Mature,N,N
Halo: The Master Chief Collection,"Dec 3, 2019",Very Positive,92,184791,0.00,0,700,Mature,N,N
BeamNG.drive,"May 29, 2015",Overwhelmingly Positive,97,157041,$24.99,0,4,No Rating,N,Y
Last Epoch,"Apr 30, 2019",Very Positive,85,17438,0.00,0,0,No Rating,N,Y
